Unnamed: 0,kabupaten,tahun,temperature,temp_max,temp_min,rainfall,humidity,wind_speed,solar_radiation
231,BANDUNG,2015,21.39553424657534,26.023561643835617,17.8353698630137,5204.82,86.70380821917809,1.4161917808219178,18.873465753424657
232,BANDUNG,2016,21.89210382513661,25.4748087431694,19.16527322404372,8524.46,90.09002732240435,1.2933606557377049,17.123551912568306
233,BANDUNG,2017,21.393123287671237,25.473479452054796,18.30484931506849,6603.78,89.07950684931507,1.545917808219178,17.63554794520548
234,BANDUNG,2018,21.35978082191781,25.767205479452056,18.004164383561644,5595.92,87.62654794520547,1.5021095890410958,18.508657534246574
235,BANDUNG,2019,21.619205479452056,26.39630136986301,17.983616438356165,5490.38,86.05961643835616,1.4347671232876713,19.50609589041096
236,BANDUNG,2020,21.808169398907104,25.606775956284157,18.93505464480874,8295.7,89.92691256830601,1.4977049180327868,17.51903005464481
237,BANDUNG,2021,21.49287671232877,25.30767123287671,18.560602739726026,7121.88,89.76186301369863,1.4554520547945209,17.484205479452054
238,BANDUNG,2022,21.51994520547945,25.19438356164384,18.72304109589041,6838.64,90.04750684931506,1.3996164383561644,16.802246575342465
239,BANDUNG,2023,21.77282191780822,26.246904109589043,18.42857534246576,4535.46,87.24917808219178,1.4771780821917808,18.61576712328767
240,BANDUNG,2024,22.220491803278687,26.334453551912567,19.089234972677595,7589.019999999999,88.65144808743169,1.4966120218579235,17.75599726775956
241,BANDUNG,2025,21.741068493150685,25.427890410958906,18.91641095890411,6589.68,90.00852054794521,1.5867123287671232,17.099452054794522
242,BANDUNG BARAT,2015,21.39553424657534,26.023561643835617,17.8353698630137,2602.41,86.70380821917809,1.4161917808219178,18.590794520547945
243,BANDUNG BARAT,2016,21.89210382513661,25.4748087431694,19.16527322404372,4262.23,90.09002732240435,1.2933606557377049,17.005819672131146
244,BANDUNG BARAT,2017,21.393123287671237,25.473479452054796,18.30484931506849,3301.89,89.07950684931507,1.545917808219178,17.612520547945206
245,BANDUNG BARAT,2018,21.35978082191781,25.767205479452056,18.004164383561644,2797.96,87.62654794520547,1.5021095890410958,18.398246575342466
246,BANDUNG BARAT,2019,21.619205479452056,26.39630136986301,17.983616438356165,2745.19,86.05961643835616,1.4347671232876713,19.17709589041096
247,BANDUNG BARAT,2020,21.808169398907104,25.606775956284157,18.93505464480874,4147.85,89.92691256830601,1.4977049180327868,17.383743169398908
248,BANDUNG BARAT,2021,21.49287671232877,25.30767123287671,18.560602739726026,3560.94,89.76186301369863,1.4554520547945209,17.20950684931507
249,BANDUNG BARAT,2022,21.51994520547945,25.19438356164384,18.72304109589041,3419.32,90.04750684931506,1.3996164383561644,16.827534246575343
250,BANDUNG BARAT,2023,21.77282191780822,26.246904109589043,18.42857534246576,2267.73,87.24917808219178,1.4771780821917808,18.461616438356163
251,BANDUNG BARAT,2024,22.220491803278687,26.334453551912567,19.089234972677595,3794.51,88.65144808743169,1.4966120218579235,17.6825956284153
252,BANDUNG BARAT,2025,21.741068493150685,25.427890410958906,18.91641095890411,3294.84,90.00852054794521,1.5867123287671232,17.13194520547945
352,BANJAR,2015,25.92835616438356,30.351876712328767,22.755958904109587,4333.16,83.72732876712328,1.317205479452055,18.309986301369864
353,BANJAR,2016,26.476571038251365,30.14520491803279,23.803920765027325,7101.61,86.24613387978142,1.0562568306010929,17.52360655737705
354,BANJAR,2017,25.742205479452057,29.48430136986301,23.11423287671233,5621.27,86.93942465753425,1.293082191780822,16.882246575342467
355,BANJAR,2018,25.78382191780822,29.89868493150685,22.91128767123288,5089.04,85.22253424657534,1.3737945205479452,17.979424657534246
356,BANJAR,2019,26.07012328767123,30.597164383561644,22.8933698630137,4219.91,83.55787671232876,1.3736027397260275,18.67454794520548
357,BANJAR,2020,26.20733606557377,29.91247267759563,23.586106557377047,8294.56,86.89698087431694,1.2750819672131148,17.245054644808743
358,BANJAR,2021,25.931383561643838,29.5413698630137,23.350479452054792,6171.91,87.16172602739725,1.206890410958904,17.075739726027397
359,BANJAR,2022,25.981164383561644,29.493219178082192,23.45095890410959,6942.22,87.2098904109589,1.1485753424657534,16.685287671232878
360,BANJAR,2023,26.17505479452055,30.39650684931507,23.2267397260274,3950.07,84.77235616438357,1.3673972602739726,18.027205479452057
361,BANJAR,2024,26.571857923497262,30.45581967213115,23.858265027322403,5369.57,86.3306693989071,1.3072404371584698,17.5100956284153
362,BANJAR,2025,26.098794520547944,29.59439726027397,23.60682191780822,6688.16,87.61258904109589,1.2574931506849316,16.70194520547945
583,BEKASI,2015,26.09571232876712,29.536465753424658,23.27068493150685,4046.75,81.69901369863014,1.9718630136986304,18.21490410958904
584,BEKASI,2016,26.34282786885246,29.050874316939893,24.20699453551913,5900.47,84.86184426229508,1.740792349726776,16.707909836065575
585,BEKASI,2017,26.00284931506849,28.957589041095893,23.619575342465755,5251.62,84.33961643835616,1.9282465753424656,17.313397260273973
586,BEKASI,2018,26.16610958904109,29.442986301369864,23.49639726027397,3904.46,81.83179452054794,1.9100136986301368,18.01398630136986
587,BEKASI,2019,26.45708219178082,29.97858904109589,23.535150684931505,3997.12,80.3852602739726,1.802095890410959,18.77358904109589
588,BEKASI,2020,26.29577868852459,29.094822404371584,24.08889344262295,5734.92,84.98290983606557,1.9379234972677597,17.028674863387977
589,BEKASI,2021,26.03182191780822,28.777246575342463,23.843054794520548,5963.84,85.23680821917809,1.9104109589041092,17.024534246575342
590,BEKASI,2022,25.97886301369863,28.735506849315065,23.76875342465753,4939.94,85.25402739726027,1.81227397260274,16.403438356164383
591,BEKASI,2023,26.55434246575342,29.83486301369863,23.89032876712329,3362.51,81.71482191780822,1.8055753424657528,17.990657534246576
592,BEKASI,2024,26.85497267759563,29.897527322404372,24.36122950819672,5268.82,83.16420765027323,1.8448360655737703,17.1094262295082
593,BEKASI,2025,26.312794520547943,29.07150684931507,24.06735616438356,5744.34,84.9471506849315,1.999931506849315,16.66045205479452
814,BOGOR,2015,24.824246575342467,29.196575342465756,21.26060273972603,4209.4,83.25235616438356,1.4021917808219178,17.839013698630136
815,BOGOR,2016,25.02185792349727,28.48150273224044,22.357677595628417,6164.36,87.28330601092895,1.3480601092896174,16.41
816,BOGOR,2017,24.70709589041096,28.51501369863013,21.70268493150685,5349.04,86.25087671232876,1.4484109589041094,17.01427397260274
817,BOGOR,2018,24.85468493150685,29.05720547945205,21.47717808219178,4166.68,83.70443835616437,1.4134246575342466,17.62972602739726
818,BOGOR,2019,25.20117808219178,29.71180821917808,21.48419178082192,4227.18,81.90191780821918,1.2931780821917809,18.37008219178082
819,BOGOR,2020,25.02598360655738,28.617978142076502,22.24172131147541,6082.9800000000005,86.91445355191256,1.454016393442623,16.67360655737705
820,BOGOR,2021,24.73682191780822,28.27704109589041,21.965068493150685,6029.3,87.2264383561644,1.4363561643835616,16.839561643835616
821,BOGOR,2022,24.676219178082192,28.20983561643836,21.92931506849315,5184.54,87.39369863013698,1.417808219178082,15.979342465753424
822,BOGOR,2023,25.29523287671233,29.53172602739726,21.907780821917807,3476.0,83.41202739726027,1.3193972602739723,17.519698630136986
823,BOGOR,2024,25.57445355191257,29.482786885245904,22.434043715847,5740.96,85.07122950819672,1.392896174863388,16.536256830601094
824,BOGOR,2025,24.99090410958904,28.550520547945208,22.169123287671237,5638.32,86.99347945205479,1.5216164383561643,16.18895890410959
1100,CIAMIS,2015,23.652493150684933,27.454630136986303,20.97827397260274,2931.09,88.52298630136985,1.977780821917808,18.406027397260274
1101,CIAMIS,2016,24.50792349726776,27.629453551912565,22.23068306010929,5927.26,89.65524590163935,1.7104644808743168,17.107814207650275
1102,CIAMIS,2017,23.72950684931507,27.124219178082196,21.34695890410959,3920.5,89.7996712328767,2.1332054794520547,16.804109589041097
1103,CIAMIS,2018,23.54813698630137,27.244246575342466,20.99041095890411,3352.66,88.81024657534248,2.155945205479452,17.91832876712329
1104,CIAMIS,2019,23.66032876712329,27.593698630136988,20.92684931506849,3318.84,88.1538904109589,1.9913150684931509,18.645945205479453
1105,CIAMIS,2020,24.29428961748633,27.5046174863388,22.07002732240437,5936.53,90.02259562841529,2.107650273224044,17.17065573770492
1106,CIAMIS,2021,24.11331506849315,27.461972602739728,21.750876712328765,3799.64,89.56624657534246,1.9346575342465755,17.185561643835616
1107,CIAMIS,2022,24.05561643835616,27.115232876712327,21.874,4630.9,90.33213698630138,1.9077534246575345,16.423479452054792
1108,CIAMIS,2023,23.799479452054797,27.43301369863013,21.31117808219178,2803.83,89.26454794520548,2.110027397260274,17.842383561643835
1109,CIAMIS,2024,24.47672131147541,27.90587431693989,22.107513661202187,4128.03,89.79890710382514,2.1082513661202187,17.371639344262295
1110,CIAMIS,2025,24.30879452054794,27.358876712328765,22.152684931506847,4379.37,90.46057534246576,2.0833424657534247,16.789863013698632
1111,CIANJUR,2015,23.821534246575343,28.24641095890411,20.3852602739726,2495.08,85.4112602739726,1.5280821917808218,18.590794520547945
1112,CIANJUR,2016,24.200983606557376,27.5529781420765,21.693879781420765,4031.72,88.92789617486339,1.4217486338797816,17.005819672131146
1113,CIANJUR,2017,23.738438356164384,27.57780821917808,20.87254794520548,3120.55,88.19750684931508,1.7454246575342467,17.612520547945206
1114,CIANJUR,2018,23.740246575342468,27.94556164383561,20.56175342465753,2621.83,86.36101369863013,1.7173424657534249,18.398246575342466
1115,CIANJUR,2019,23.95895890410959,28.62843835616438,20.377397260273973,2588.9,84.95134246575343,1.5792876712328765,19.17709589041096
1116,CIANJUR,2020,24.19546448087432,27.823497267759564,21.474071038251367,3770.25,88.41601092896174,1.6089344262295082,17.383743169398908
1117,CIANJUR,2021,23.902684931506847,27.541534246575345,21.132109589041097,3374.9,88.458,1.6256986301369862,17.20950684931507
1118,CIANJUR,2022,23.82964383561644,27.266794520547943,21.26517808219178,3342.8,89.13693150684931,1.5846027397260274,16.827534246575343
1119,CIANJUR,2023,24.05969863013699,28.332136986301368,20.88049315068493,2148.85,86.41369863013699,1.7142465753424658,18.461616438356163
1120,CIANJUR,2024,24.560081967213115,28.44366120218579,21.62379781420765,3651.64,87.62956284153005,1.6483060109289618,17.6825956284153
1121,CIANJUR,2025,24.106383561643835,27.6006301369863,21.47117808219178,3278.78,88.89249315068493,1.780958904109589,17.13194520547945
1144,CIMAHI,2015,21.39553424657534,26.023561643835617,17.8353698630137,2602.41,86.70380821917809,1.4161917808219178,18.590794520547945
1145,CIMAHI,2016,21.89210382513661,25.4748087431694,19.16527322404372,4262.23,90.09002732240435,1.2933606557377049,17.005819672131146
1146,CIMAHI,2017,21.393123287671237,25.473479452054796,18.30484931506849,3301.89,89.07950684931507,1.545917808219178,17.612520547945206
1147,CIMAHI,2018,21.35978082191781,25.767205479452056,18.004164383561644,2797.96,87.62654794520547,1.5021095890410958,18.398246575342466
1148,CIMAHI,2019,21.619205479452056,26.39630136986301,17.983616438356165,2745.19,86.05961643835616,1.4347671232876713,19.17709589041096
1149,CIMAHI,2020,21.808169398907104,25.606775956284157,18.93505464480874,4147.85,89.92691256830601,1.4977049180327868,17.383743169398908
1150,CIMAHI,2021,21.49287671232877,25.30767123287671,18.560602739726026,3560.94,89.76186301369863,1.4554520547945209,17.20950684931507
1151,CIMAHI,2022,21.51994520547945,25.19438356164384,18.72304109589041,3419.32,90.04750684931506,1.3996164383561644,16.827534246575343
1152,CIMAHI,2023,21.77282191780822,26.246904109589043,18.42857534246576,2267.73,87.24917808219178,1.4771780821917808,18.461616438356163
1153,CIMAHI,2024,22.220491803278687,26.334453551912567,19.089234972677595,3794.51,88.65144808743169,1.4966120218579235,17.6825956284153
1154,CIMAHI,2025,21.741068493150685,25.427890410958906,18.91641095890411,3294.84,90.00852054794521,1.5867123287671232,17.13194520547945
1155,CIREBON,2015,26.37061643835616,29.16790410958904,24.134424657534247,4059.06,80.8492191780822,2.763232876712329,18.840849315068493
1156,CIREBON,2016,26.796639344262296,28.916775956284155,25.07498633879781,6422.75,83.48751366120219,2.096010928961749,17.256311475409838
1157,CIREBON,2017,26.31854794520548,28.826150684931505,24.32935616438356,5132.65,82.83365753424657,2.67613698630137,18.020602739726023
1158,CIREBON,2018,26.38141095890411,29.2537397260274,24.13732876712329,4032.23,80.76083561643836,2.854794520547945,18.75986301369863
1159,CIREBON,2019,26.60994520547945,29.65728767123288,24.224520547945207,4098.42,79.49912328767124,2.828753424657534,19.38375342465753
1160,CIREBON,2020,26.69035519125683,28.992131147540984,24.867964480874317,6926.67,83.4842349726776,2.5610382513661203,17.96502732240437
1161,CIREBON,2021,26.471739726027398,28.733438356164385,24.65217808219178,5533.95,83.53216438356165,2.5225068493150684,17.5246301369863
1162,CIREBON,2022,26.394,28.497150684931505,24.671301369863013,5800.5,84.08076712328767,2.292232876712329,17.19312328767123
1163,CIREBON,2023,26.63731506849315,29.468465753424656,24.42990410958904,3597.11,81.16421917808219,2.8666986301369866,18.94956164383561
1164,CIREBON,2024,27.08907103825137,29.666994535519127,25.079303278688524,4689.14,82.41454918032787,2.624494535519126,18.402049180327868
1165,CIREBON,2025,26.62597260273973,28.76894520547945,24.90509589041096,6665.78,84.47227397260274,2.540013698630137,17.688109589041094
1221,DEPOK,2015,24.824246575342467,29.196575342465756,21.26060273972603,2104.7,83.25235616438356,1.4021917808219178,17.839013698630136
1222,DEPOK,2016,25.02185792349727,28.48150273224044,22.357677595628417,3082.18,87.28330601092895,1.3480601092896174,16.41
1223,DEPOK,2017,24.70709589041096,28.51501369863013,21.70268493150685,2674.52,86.25087671232876,1.4484109589041094,17.01427397260274
1224,DEPOK,2018,24.85468493150685,29.05720547945205,21.47717808219178,2083.34,83.70443835616437,1.4134246575342466,17.62972602739726
1225,DEPOK,2019,25.20117808219178,29.71180821917808,21.48419178082192,2113.59,81.90191780821918,1.2931780821917809,18.37008219178082
1226,DEPOK,2020,25.02598360655738,28.617978142076502,22.24172131147541,3041.49,86.91445355191256,1.454016393442623,16.67360655737705
1227,DEPOK,2021,24.73682191780822,28.27704109589041,21.965068493150685,3014.65,87.2264383561644,1.4363561643835616,16.839561643835616
1228,DEPOK,2022,24.676219178082192,28.20983561643836,21.92931506849315,2592.27,87.39369863013698,1.417808219178082,15.979342465753424
1229,DEPOK,2023,25.29523287671233,29.53172602739726,21.907780821917807,1738.0,83.41202739726027,1.3193972602739723,17.519698630136986
1230,DEPOK,2024,25.57445355191257,29.482786885245904,22.434043715847,2870.48,85.07122950819672,1.392896174863388,16.536256830601094
1231,DEPOK,2025,24.99090410958904,28.550520547945208,22.169123287671237,2819.16,86.99347945205479,1.5216164383561643,16.18895890410959
1342,GARUT,2015,22.67235616438356,27.16049315068493,19.296219178082197,2159.37,86.17005479452055,1.5727945205479454,19.15613698630137
1343,GARUT,2016,23.22789617486339,26.83948087431694,20.49622950819672,3544.63,89.04218579234973,1.2138524590163935,17.241284153005466
1344,GARUT,2017,22.634767123287677,26.67830136986301,19.573534246575345,2844.87,88.34835616438356,1.543890410958904,17.658575342465753
1345,GARUT,2018,22.581917808219178,27.024136986301368,19.272794520547944,2308.61,86.76093150684932,1.625835616438356,18.619068493150685
1346,GARUT,2019,22.802767123287676,27.46539726027397,19.337013698630138,2364.55,85.61572602739726,1.7029589041095892,19.83509589041096
